uid	settingid	tid	l	ratio
2016011386	1	6	8293.60812	0.636046511628
2014010588	2	19	8307.0	0.63488372093
2014012280	3	15	8317.0	0.633720930233
2013011361	1	16	8319.0	0.632558139535
2015012244	4	17	8326.2639	0.631395348837
2016011286	2	13	8358.0	0.63023255814
2013010932	1	9	8386.0	0.629069767442
2016011336	3	15	8392.0	0.627906976744
2014011525	3	15	8406.80875	0.626744186047
2016011386	1	11	8407.35896	0.625581395349
2014012023	1	5	8464.0	0.624418604651
2014010974	2	11	8470.66137	0.623255813953
2015010889	3	12	8473.47577	0.622093023256
2016211313	1	4	8494.40594	0.620930232558
2016211313	1	19	8497.29584	0.61976744186
2013010932	1	8	8515.0	0.618604651163
2016011286	2	14	8528.0	0.617441860465
2014012280	3	16	8535.0	0.616279069767
2016011396	4	18	8578.3185	0.61511627907
2016011317	1	7	8619.0	0.613953488372
2015210462	3	2	8629.0	0.612790697674
2015010872	4	14	8631.0	0.611627906977
2014080102	3	10	8643.0	0.610465116279
2016211313	1	8	8665.8602	0.609302325581
2016011284	4	17	8683.0	0.608139534884
2014210115	2	3	8702.40436	0.606976744186
2014080121	2	13	8733.0	0.605813953488
2013012048	4	13	8744.0	0.604651162791
2013012645	2	15	8752.0	0.603488372093
2013012645	2	11	8775.4856	0.602325581395
2016211313	1	6	8794.27554	0.601162790698
2016011317	1	9	8797.073	0.6
2013011361	1	17	8800.0	0.598837209302
2014012280	3	11	8845.0	0.597674418605
2014080102	3	8	8846.0	0.596511627907
2016011386	1	10	8900.0	0.595348837209
2014080118	3	16	8910.0	0.594186046512
2015210462	3	16	8948.0	0.593023255814
2014010012	1	2	9003.0	0.591860465116
2014010588	2	7	9039.84933	0.590697674419
2014080129	2	2	9045.0	0.589534883721
2016011317	1	17	9049.30524	0.588372093023
2016211454	4	13	9056.4692	0.587209302326
2014080121	2	11	9056.70258	0.586046511628
2013012692	1	18	9085.0	0.58488372093
2015311241	2	11	9105.69632	0.583720930233
2013012645	2	6	9124.0	0.582558139535
2016011286	2	5	9148.0	0.581395348837
2016211313	1	2	9150.9984	0.58023255814
2014011335	3	9	9152.55896	0.579069767442
2014011335	3	18	9163.0	0.577906976744
2014011335	3	19	9178.0	0.576744186047
2014010012	1	3	9216.0	0.575581395349
2013012645	2	12	9221.19205	0.574418604651
2014080118	3	9	9221.55115	0.573255813953
2016011258	4	3	9233.0	0.572093023256
2014011335	3	1	9264.0	0.570930232558
2013012048	4	17	9274.0	0.56976744186
2016011317	1	15	9288.0	0.568604651163
2016011304	1	12	9354.6136	0.567441860465
2016310173	2	9	9355.0	0.566279069767
2015210462	3	9	9361.48704	0.56511627907
2016050024	3	19	9385.0	0.563953488372
2016211313	1	13	9399.0	0.562790697674
2014080121	2	12	9403.0	0.561627906977
2013012692	1	11	9405.68654	0.560465116279
2016011304	1	18	9426.0	0.559302325581
2014310617	2	15	9438.0	0.558139534884
2016210747	2	6	9451.54803	0.556976744186
2014080118	3	3	9471.0	0.555813953488
2013012048	4	19	9491.0	0.554651162791
2013011361	1	14	9536.0	0.553488372093
2016211313	1	5	9560.0	0.552325581395
2016011258	4	20	9584.0	0.551162790698
2014012023	1	8	9606.59564	0.55
2016211454	4	5	9659.0	0.548837209302
2015010872	4	9	9661.0	0.547674418605
2016011311	4	20	9678.985168	0.546511627907
2014010588	2	4	9713.06006	0.545348837209
2016310173	2	5	9816.0	0.544186046512
2015010887	4	18	9819.0	0.543023255814
2015311241	2	5	9825.0	0.541860465116
2013010932	1	18	9828.0	0.540697674419
2013012048	4	5	9833.0	0.539534883721
2016011258	4	13	9853.39423	0.538372093023
2016011336	3	12	9873.41061	0.537209302326
2016050024	3	10	9880.20844	0.536046511628
2016211454	4	17	9929.58	0.53488372093
2014080118	3	14	9940.0748	0.533720930233
2014080129	2	18	9942.3372	0.532558139535
2013012048	4	15	10003.0	0.531395348837
2014080102	3	12	10013.0	0.53023255814
2015010889	3	10	10027.0	0.529069767442
2014310617	2	8	10032.88213	0.527906976744
2015311241	2	13	10043.0	0.526744186047
2016011336	3	6	10067.0771	0.525581395349
2015010887	4	6	10076.0	0.524418604651
2016011336	3	8	10076.0	0.523255813953
2016011392	3	2	10081.5745	0.522093023256
2014012280	3	6	10089.0	0.520930232558
2016011304	1	15	10091.0	0.51976744186
2016011284	4	5	10105.0	0.518604651163
2014010012	1	15	10141.0	0.517441860465
2016011284	4	16	10143.0	0.516279069767
2014080121	2	2	10186.0078	0.51511627907
2014080129	2	9	10198.2982	0.513953488372
2014010012	1	13	10204.0	0.512790697674
2014080102	3	3	10211.0	0.511627906977
2014080129	2	20	10214.0	0.510465116279
2013012048	4	1	10254.0	0.509302325581
2016310173	2	13	10256.0	0.508139534884
2016011396	4	19	10260.99863	0.506976744186
2016011386	1	3	10315.2896	0.505813953488
2016011304	1	2	10404.395	0.504651162791
2016211313	1	18	10409.3796	0.503488372093
2014010974	2	15	10419.65497	0.502325581395
2016011396	4	2	10432.88055	0.501162790698
2014080129	2	5	10461.0	0.5
2016050024	3	9	10526.0	0.498837209302
2016011257	1	6	10549.0	0.497674418605
2014011335	3	6	10582.0	0.496511627907
2016011258	4	9	10615.43713	0.495348837209
2016310173	2	14	10622.0	0.494186046512
2014080102	3	11	10635.7853	0.493023255814
2016211454	4	16	10652.0	0.491860465116
2016011258	4	7	10678.0	0.490697674419
2016011284	4	19	10682.0	0.489534883721
2016011336	3	11	10705.59396	0.488372093023
2016210747	2	12	10717.6417	0.487209302326
2015010887	4	19	10742.0	0.486046511628
2016011304	1	11	10752.41996	0.48488372093
2014210115	2	4	10754.0	0.483720930233
2016011311	4	5	10792.0	0.482558139535
2016210747	2	8	10821.74098	0.481395348837
2016211454	4	20	10841.0	0.48023255814
2016011336	3	17	10852.88055	0.479069767442
2013012048	4	4	10881.0	0.477906976744
2013010932	1	17	10899.0	0.476744186047
2014080121	2	1	10900.0	0.475581395349
2014080118	3	8	10925.0	0.474418604651
2016011386	1	16	10956.45905	0.473255813953
2016011373	1	11	10978.7775	0.472093023256
2015010889	3	14	11006.0	0.470930232558
2014011335	3	13	11016.0	0.46976744186
2016011396	4	15	11027.0	0.468604651163
2014011525	3	2	11028.0	0.467441860465
2014010974	2	8	11062.0	0.466279069767
2013012692	1	12	11077.62499	0.46511627907
2013012692	1	8	11102.0	0.463953488372
2015311241	2	8	11190.49359	0.462790697674
2016011257	1	14	11236.0	0.461627906977
2016011392	3	16	11245.0	0.460465116279
2014012280	3	12	11293.0	0.459302325581
2016011257	1	7	11352.0	0.458139534884
2015010889	3	5	11365.0	0.456976744186
2015311241	2	10	11421.0	0.455813953488
2016210747	2	9	11457.49493	0.454651162791
2014080102	3	17	11476.77798	0.453488372093
2015012244	4	6	11485.0	0.452325581395
2014012280	3	14	11498.0	0.451162790698
2013012056	4	19	11507.0	0.45
2016211123	3	9	11510.49646	0.448837209302
2014080118	3	10	11518.2795	0.447674418605
2014010974	2	12	11740.0	0.446511627907
2016011311	4	7	11779.0	0.445348837209
2016011286	2	7	11787.0	0.444186046512
